time,msg,codes,model,short_width,long_width,gap_limit,reset_limit,lengthBits,hex_data,binary_data,rowCount
@0.023206s,,,Unknown1,500.000,500.000,8000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023146s,,,Unknown1,500.000,500.000,8000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023153s,,,Unknown1,500.000,500.000,8000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023156s,,,Unknown1,500.000,500.000,8000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.033282s,,,Unknown1,500.000,500.000,8000.000,10000.000,140,AAAAAAAAAAAAAAAA2DD4DD401401DEF001A0,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111010100000000010100000000011101111011110000000000011010,1
@0.023140s,,,Unknown1,500.000,500.000,8000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.023158s,,,Unknown1,500.000,500.000,8000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.023197s,,,Unknown1,500.000,500.000,8000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023163s,,,Unknown1,500.000,500.000,8000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F47802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101000111100000000010110100,1
@0.023169s,,,Unknown1,500.000,500.000,8000.000,10000.000,158,AAAAAAAAAAAAAAAA6DD4075B05012A00F6F893F3,10101010101010101010101010101010101010101010101010101010101010100110110111010100000001110101101100000101000000010010101000000000111101101111100010010011111100,1
@0.023196s,,,Unknown1,500.000,500.000,8000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023204s,,,Unknown1,500.000,500.000,8000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.045765s,,,Unknown1,500.000,500.000,8000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
@0.154233s,,,Unknown1,500.000,500.000,8000.000,10000.000,149,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110001101010001000001100100011001000110010000000000000000,1
@0.023162s,,,Unknown1,500.000,500.000,8000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F57802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101010111100000000010110100,1
@0.164274s,,,Unknown1,500.000,500.000,8000.000,10000.000,162,AAAAAAAAAAAAAAAA2DD4EEA06500C8C8C800009800,101010101010101010101010101010101010101010101010101010101010101000101101110101001110111010100000011001010000000011001000110010001100100000000000000000001001100000,1
@0.046224s,,,Unknown1,500.000,500.000,8000.000,10000.000,163,AAAAAAAAAAAAAAAA2DD4DCCC05009900801E004280,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000000010100000000100110010000000010000000000111100000000001000010100,1
@0.154229s,,,Unknown1,500.000,500.000,8000.000,10000.000,149,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110001101010001000001100100011001000110010000000000000000,1
